,L1,L2
2019-01-20,1.3214200055721229e-05,0.00012845719815023543
2019-01-21,1.3214200055721229e-05,0.00012845719815023543
2019-01-22,1.4262776286242881e-05,0.00013184132501670913
2019-01-23,1.4262776286242881e-05,0.00013184132501670913
2019-01-24,8.282331684117752e-06,8.73615344782184e-05
2019-01-25,8.282331684117752e-06,8.73615344782184e-05
2019-01-26,5.790373846117566e-06,7.077790520925105e-05
2019-01-27,5.790373846117566e-06,7.077790520925105e-05
2019-01-28,5.600002527530838e-06,7.011775734976551e-05
2019-01-29,5.436419038942807e-06,6.981258896235903e-05
2019-01-30,5.804327703039279e-06,7.136635452414884e-05
2019-01-31,5.804321920577964e-06,7.136635445920256e-05
2019-02-01,7.966504519635364e-06,8.493336448920273e-05
2019-02-02,7.966504519635364e-06,8.493336448920273e-05
2019-02-03,8.01123503793859e-06,8.497048478416161e-05
2019-02-04,1.3952392695623e-05,0.0001378997082677343
2019-02-05,2.4182265706301125e-05,0.00022538907029683914
2019-02-06,2.4303275635191796e-05,0.00022545131715491392
2019-02-07,2.534852105109367e-05,0.0002271136866716269
2019-02-08,1.072438762664816e-05,0.00012344052661643218
2019-02-09,1.082579145476382e-05,0.00012352769303364361
2019-02-10,1.2893703726241492e-05,0.00013565032924642672
2019-02-11,1.5385661564241678e-05,0.00014499495737867296
2019-02-12,1.3730655524035436e-05,0.0001375202432675283
2019-02-13,1.4774108692095205e-05,0.0001400799979419917
2019-02-14,6.724356837020965e-05,0.0005599728440992211
2019-02-15,6.763994945807985e-05,0.00056012137731103
2019-02-16,6.769144670551545e-05,0.0005601264598829485
2019-02-17,6.769144670551545e-05,0.0005601264598829485
2019-02-18,6.765801928964888e-05,0.0005601228228413104
2019-02-19,6.734366174363399e-05,0.0005599882734203975
2019-02-20,6.734366174363399e-05,0.0005599882734203975
2019-02-21,6.756544059540842e-05,0.0005602009055106242
2019-02-22,6.795024329287245e-05,0.0005603590358299295
2019-02-23,6.712362897991344e-05,0.0005599059873581783
2019-02-24,6.700261905102277e-05,0.0005598809259850923
2019-02-25,6.716326885648126e-05,0.000559919260371083
2019-02-26,6.180949722108718e-05,0.0005226163235977659
2019-02-27,5.855059127220626e-05,0.0005188504036688198
2019-02-28,5.855059127220626e-05,0.0005188504036688198
2019-03-01,6.142996113422738e-05,0.000521245769781059
2019-03-02,6.010075179068553e-05,0.0005201192952148404
2019-03-03,5.887696250729443e-05,0.0005192509379643216
2019-03-04,5.887696250729443e-05,0.0005192509379643216
2019-03-05,5.733541422249679e-05,0.0005178387041410943
2019-03-06,5.733541422249679e-05,0.0005178387041410943
2019-03-07,5.654704032623427e-05,0.000517134098796769
2019-03-08,6.034100026857016e-05,0.0005218757346147987
2019-03-09,6.681111840019764e-05,0.0005325011351697748
2019-03-10,6.704595045108156e-05,0.0005326806795990389
2019-03-11,6.704595045108156e-05,0.0005326806795990389
2019-03-12,6.704595045108156e-05,0.0005326806795990389
2019-03-13,6.704595045108156e-05,0.0005326806795990389
2019-03-14,6.704696809886097e-05,0.0005326806999136273
2019-03-15,6.592361244046825e-05,0.0005320645754585648
2019-03-16,6.585188100818813e-05,0.0005315075505244019
